GAME_TIME_LOW, 9812
GAME_TIME_HIGH, 10421
TICK,0,582
TICK,1,20
TICK,2,7
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 11012
GAME_TIME_HIGH, 11696
TICK,0,656
TICK,1,24
TICK,2,3
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9812
GAME_TIME_HIGH, 10421
TICK,0,582
TICK,1,20
TICK,2,7
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9804
GAME_TIME_HIGH, 10413
TICK,0,585
TICK,1,20
TICK,2,3
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9834
GAME_TIME_HIGH, 10444
TICK,0,581
TICK,1,22
TICK,2,6
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9806
GAME_TIME_HIGH, 10415
TICK,0,584
TICK,1,21
TICK,2,3
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9800
GAME_TIME_HIGH, 10408
TICK,0,580
TICK,1,20
TICK,2,8
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9800
GAME_TIME_HIGH, 10408
TICK,0,578
TICK,1,24
TICK,2,6
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10626
GAME_TIME_HIGH, 11286
TICK,0,634
TICK,1,19
TICK,2,7
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9816
GAME_TIME_HIGH, 10428
TICK,0,583
TICK,1,20
TICK,2,4
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9812
GAME_TIME_HIGH, 10424
TICK,0,585
TICK,1,18
TICK,2,4
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9820
GAME_TIME_HIGH, 10429
TICK,0,578
TICK,1,24
TICK,2,7
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9816
GAME_TIME_HIGH, 10425
TICK,0,579
TICK,1,24
TICK,2,6
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9820
GAME_TIME_HIGH, 10432
TICK,0,581
TICK,1,22
TICK,2,4
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9818
GAME_TIME_HIGH, 10427
TICK,0,580
TICK,1,21
TICK,2,8
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9814
GAME_TIME_HIGH, 10423
TICK,0,580
TICK,1,23
TICK,2,6
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10216
GAME_TIME_HIGH, 10850
TICK,0,604
TICK,1,24
TICK,2,6
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9821
GAME_TIME_HIGH, 10438
TICK,0,582
TICK,1,22
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,1
TICK,7,0
GAME_TIME_LOW, 9832
GAME_TIME_HIGH, 10442
TICK,0,580
TICK,1,25
TICK,2,4
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9823
GAME_TIME_HIGH, 10440
TICK,0,581
TICK,1,23
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,1
TICK,7,0
GAME_TIME_LOW, 9796
GAME_TIME_HIGH, 10404
TICK,0,581
TICK,1,20
TICK,2,7
TICK,3,0
TICK,4,0
TICK,5,0
